HP:0000001,-1,All
HP:0000002,2,Abnormality of body height
HP:0000003,7,Multicystic kidney dysplasia
HP:0000004,-1,Clinical modifier
HP:0000005,-1,Mode of inheritance
HP:0000006,-1,Autosomal dominant inheritance
HP:0000007,-1,Autosomal recessive inheritance
HP:0000008,5,Abnormal morphology of female internal genitalia
HP:0000009,5,Functional abnormality of the bladder
HP:0000010,4,Recurrent urinary tract infections
HP:0000011,6,Neurogenic bladder
HP:0000012,6,Urinary urgency
HP:0000013,8,Hypoplasia of the uterus
HP:0000014,4,Abnormality of the bladder
HP:0000015,6,Bladder diverticulum
HP:0000016,6,Urinary retention
HP:0000017,6,Nocturia
HP:0000018,6,Urinary bladder sphincter dysfunction
HP:0000019,6,Urinary hesitancy
HP:0000020,4,Urinary incontinence
HP:0000021,7,Megacystis
HP:0000022,5,Abnormality of male internal genitalia
HP:0000023,4,Inguinal hernia
HP:0000024,5,Prostatitis
HP:0000025,5,Functional abnormality of male internal genitalia
HP:0000026,4,Male hypogonadism
HP:0000027,7,Azoospermia
HP:0000028,7,Cryptorchidism
HP:0000029,7,Testicular atrophy
HP:0000030,6,Testicular gonadoblastoma
HP:0000031,5,Epididymitis
HP:0000032,5,Abnormality of male external genitalia
HP:0000033,6,Ambiguous genitalia, male
HP:0000034,7,Hydrocele testis
HP:0000035,6,Abnormal testis morphology
HP:0000036,6,Abnormality of the penis
HP:0000037,6,Male pseudohermaphroditism
HP:0000038,8,Micropenis
HP:0000039,6,Epispadias
HP:0000040,7,Long penis
HP:0000041,7,Chordee
HP:0000042,5,Absent external genitalia
HP:0000043,7,Decreased testicular size
HP:0000044,4,Hypogonadotropic hypogonadism
HP:0000045,6,Abnormality of the scrotum
HP:0000046,7,Scrotal hypoplasia
HP:0000047,6,Hypospadias
HP:0000048,7,Bifid scrotum
HP:0000049,7,Shawl scrotum
HP:0000050,6,Hypoplastic male external genitalia
HP:0000051,7,Perineal hypospadias
HP:0000052,6,Urethral atresia, male
HP:0000053,8,Macroorchidism
HP:0000054,8,Micropenis
HP:0000055,5,Abnormality of female external genitalia
HP:0000056,6,Abnormality of the clitoris
HP:0000057,9,Clitoral hypertrophy
HP:0000058,6,Abnormality of the labia
HP:0000059,8,Hypoplastic labia majora
HP:0000060,7,Clitoral hypoplasia
HP:0000061,6,Ambiguous genitalia, female
HP:0000062,5,Ambiguous genitalia
HP:0000063,8,Fused labia minora
HP:0000064,8,Hypoplastic labia minora
HP:0000065,7,Labial hypertrophy
HP:0000066,7,Labial hypoplasia
HP:0000067,6,Urethral atresia, female
HP:0000068,5,Urethral atresia
HP:0000069,4,Abnormality of the ureter
HP:0000070,6,Ureterocele
HP:0000071,7,Ureteral stenosis
HP:0000072,6,Hydroureter
HP:0000073,6,Ureteral duplication
HP:0000074,8,Ureteropelvic junction obstruction
HP:0000075,6,Renal duplication
HP:0000076,6,Vesicoureteral reflux
HP:0000077,4,Abnormality of the kidney
HP:0000078,2,Abnormality of the genital system
HP:0000079,2,Abnormality of the urinary system
HP:0000080,3,Abnormality of reproductive system physiology
HP:0000081,7,Duplicated collecting system
HP:0000082,4,Abnormal renal physiology
HP:0000083,5,Renal insufficiency
HP:0000084,5,Renal insufficiency
HP:0000085,7,Horseshoe kidney
HP:0000086,7,Ectopic kidney
HP:0000087,4,Abnormal renal physiology
HP:0000088,6,Renal cyst
HP:0000089,7,Renal hypoplasia
HP:0000090,7,Nephronophthisis
HP:0000091,7,Abnormal renal tubule morphology
HP:0000092,9,Renal tubular atrophy
HP:0000093,4,Proteinuria
HP:0000094,4,Recurrent urinary tract infections
HP:0000095,7,Abnormality of renal glomerulus morphology
HP:0000096,8,Glomerulosclerosis
HP:0000097,9,Focal segmental glomerulosclerosis
HP:0000098,3,Tall stature
HP:0000099,6,Glomerulonephritis
HP:0000100,5,Nephrotic syndrome
HP:0000101,7,Stage 5 chronic kidney disease
HP:0000102,6,Nephrolithiasis
HP:0000103,7,Polyuria
HP:0000104,7,Renal agenesis
HP:0000105,6,Enlarged kidney
HP:0000106,6,Chronic kidney disease
HP:0000107,6,Renal cyst
HP:0000108,7,Renal corticomedullary cysts
HP:0000109,6,Renal cyst
